sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id
FK0004451,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ SANDWICHES & LUNCH KITS",base,Reser's Fine Foods Macaroni Salad (454 g),,,,1,Taxable Goods,"Catalog, Search",1.9116,,,,,,,/FK0004451.png,Reser's Fine Foods Macaroni Salad (454 g),/FK0004451.png,,/FK0004451.png,,/FK0004451.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004452,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ APPETIZERS & SIDES",base,"Marukome Instant Miso Soup, Tofu (29 g)",,,,1,Taxable Goods,"Catalog, Search",4.2984,,,,,,,,"Marukome Instant Miso Soup, Tofu (29 g)",,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004453,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ SUSHI & BENTO",base,"Family Size Caesar Salad, Club Pack (1 kg)",,,,1,Taxable Goods,"Catalog, Search",10.8,,,,,,,/FK0004453.png,"Family Size Caesar Salad, Club Pack (1 kg)",/FK0004453.png,,/FK0004453.png,,/FK0004453.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004454,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ SANDWICHES & LUNCH KITS",base,Mandarin Dumpling Wrappers (454 g),,,,1,Taxable Goods,"Catalog, Search",3.7692,,,,,,,/FK0004454.png,Mandarin Dumpling Wrappers (454 g),/FK0004454.png,,/FK0004454.png,,/FK0004454.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004455,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ SALADS",base,Bento Spicy California Spring Rolls (120 g),,,,1,Taxable Goods,"Catalog, Search",8.0892,,,,,,,/FK0004455.png,Bento Spicy California Spring Rolls (120 g),/FK0004455.png,,/FK0004455.png,,/FK0004455.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004456,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ SANDWICHES & LUNCH KITS",base,Tomato and Boncconcini Salad,,,,1,Taxable Goods,"Catalog, Search",6.8472,,,,,,,/FK0004456.png,Tomato and Boncconcini Salad,/FK0004456.png,,/FK0004456.png,,/FK0004456.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004457,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ CHICKEN & TURKEY MEALSÃŠ",base,Reser's Fine Foods Potato and Egg Salad (1250 g),,,,1,Taxable Goods,"Catalog, Search",4.8276,,,,,,,/FK0004457.png,Reser's Fine Foods Potato and Egg Salad (1250 g),/FK0004457.png,,/FK0004457.png,,/FK0004457.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004458,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ SALADS",base,Gourmet BBQ Pulled Chicken Sandwich (1 ea),,,,1,Taxable Goods,"Catalog, Search",6.4584,,,,,,,/FK0004458.png,Gourmet BBQ Pulled Chicken Sandwich (1 ea),/FK0004458.png,,/FK0004458.png,,/FK0004458.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004459,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ SANDWICHES & LUNCH KITS",base,Chicken Legs & Wings,,,,1,Taxable Goods,"Catalog, Search",4.2768,,,,,,,,Chicken Legs & Wings,,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004460,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ SANDWICHES & LUNCH KITS",base,"Asian Salad, Small",,,,1,Taxable Goods,"Catalog, Search",4.158,,,,,,,/FK0004460.png,"Asian Salad, Small",/FK0004460.png,,/FK0004460.png,,/FK0004460.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
