sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus
FK0003820,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ DIPS",base,"President's Choice Hummus, Mini (228 g)",,,,1,Taxable Goods,"Catalog, Search",3.24,,,,,,,/FK0003820.png,"President's Choice Hummus, Mini (228 g)",/FK0003820.png,,/FK0003820.png,,/FK0003820.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0003821,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ HUMMUS & SPREADS",base,Freybe Herb Liver (250 g),,,,1,Taxable Goods,"Catalog, Search",4.2984,,,,,,,/FK0003821.png,Freybe Herb Liver (250 g),/FK0003821.png,,/FK0003821.png,,/FK0003821.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0003822,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ DIPS",base,"President's Choice Salsa, Fresh Medium (430 mL)",,,,1,Taxable Goods,"Catalog, Search",4.8492,,,,,,,/FK0003822.png,"President's Choice Salsa, Fresh Medium (430 mL)",/FK0003822.png,,/FK0003822.png,,/FK0003822.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0003823,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ DIPS",base,President's Choice Olive Tapenade Hummus Roll (227 g),,,,1,Taxable Goods,"Catalog, Search",3.1752,,,,,,,/FK0003823.png,President's Choice Olive Tapenade Hummus Roll (227 g),/FK0003823.png,,/FK0003823.png,,/FK0003823.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0003824,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ DIPS",base,"Marzetti Veggie Dip, Spinach (340 g)",,,,1,Taxable Goods,"Catalog, Search",3.7476,,,,,,,/FK0003824.png,"Marzetti Veggie Dip, Spinach (340 g)",/FK0003824.png,,/FK0003824.png,,/FK0003824.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0003825,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ DIPS",base,"President's Choice Yogurt Dip, Traditional Tzatziki Mini (228 g)",,,,1,Taxable Goods,"Catalog, Search",3.5532,,,,,,,/FK0003825.png,"President's Choice Yogurt Dip, Traditional Tzatziki Mini (228 g)",/FK0003825.png,,/FK0003825.png,,/FK0003825.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0003826,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ HUMMUS & SPREADS",base,"President's Choice Yogurt Dip, Traditional Tzatziki (227 g)",,,,1,Taxable Goods,"Catalog, Search",3.5532,,,,,,,/FK0003826.png,"President's Choice Yogurt Dip, Traditional Tzatziki (227 g)",/FK0003826.png,,/FK0003826.png,,/FK0003826.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0003827,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ DIPS",base,Marzetti Spicy Avocado Ranch Dip (340 g),,,,1,Taxable Goods,"Catalog, Search",3.7476,,,,,,,/FK0003827.png,Marzetti Spicy Avocado Ranch Dip (340 g),/FK0003827.png,,/FK0003827.png,,/FK0003827.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0003828,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ HUMMUS & SPREADS",base,President's Choice Olive Tapenade Hummus Chick Pea Dip and Spread (280 g),,,,1,Taxable Goods,"Catalog, Search",3.4452,,,,,,,/FK0003828.png,President's Choice Olive Tapenade Hummus Chick Pea Dip and Spread (280 g),/FK0003828.png,,/FK0003828.png,,/FK0003828.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0003829,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ DIPS",base,President's Choice Carrot Harissa Chia (227 g),,,,1,Taxable Goods,"Catalog, Search",3.24,,,,,,,/FK0003829.png,President's Choice Carrot Harissa Chia (227 g),/FK0003829.png,,/FK0003829.png,,/FK0003829.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
